"UserID","CountryID","LanguageID","Gender","Age","Dep1Date","ReasonCA","Group","Split"
1339729,300,8,1,41,2005-02-07,1,"A","A4"
1340001,276,2,1,24,2005-02-09,1,"A","A3"
1340102,792,7,1,25,2005-02-08,1,"B","B4"
1340316,276,2,0,35,2006-06-04,1,"A","A4"
1340392,642,1,1,32,2005-02-17,1,"A","A4"
1340493,276,2,0,46,2005-02-12,2,"B","B4"
1340497,276,2,0,55,2005-02-07,2,"A","A3"
1340508,724,4,1,27,2005-02-09,3,"B","B2"
1340878,40,2,1,42,2005-02-17,2,"B","B4"
1341059,276,2,0,18,2005-02-08,2,"A","A3"
1341104,276,2,1,20,2005-02-07,1,"B","B4"
1341331,276,2,1,21,2005-06-22,2,"B","B4"
1341669,276,2,1,18,2005-02-07,2,"A","A3"
1341902,276,2,1,19,2005-02-10,2,"B","B3"
1341913,276,2,1,22,2005-02-19,2,"A","A4"
1342523,276,2,1,33,2005-03-01,3,"B","B4"
1342920,792,7,1,22,2005-02-08,1,"B","B3"
1342950,724,4,0,27,2005-02-08,2,"B","B4"
1343236,300,8,1,21,2005-02-08,2,"B","B4"
1343237,250,6,1,27,2005-02-14,3,"B","B4"
1343334,208,11,1,50,2005-02-09,2,"A","A4"
1343566,276,2,1,29,2005-02-08,3,"B","B3"
1343608,276,2,1,19,2005-02-11,1,"B","B3"
1344193,300,8,1,24,2005-02-09,3,"A","A1"
1344265,276,2,0,33,2005-02-15,1,"B","B4"
1344940,756,2,1,25,2005-02-09,3,"B","B3"
1344961,276,2,1,26,2005-02-09,3,"B","B4"
1345076,300,8,1,24,2005-02-09,2,"A","A4"
1345154,616,9,1,26,2005-02-11,2,"A","A4"
1345242,276,2,1,20,2005-04-01,2,"B","B3"
1345653,276,2,1,49,2005-02-09,3,"B","B4"
1345852,250,6,1,34,2005-02-09,2,"A","A4"
1345872,792,7,1,20,2005-02-11,3,"A","A4"
1345978,276,2,1,20,2005-11-23,2,"A","A4"
1346074,756,2,1,24,2005-04-29,2,"A","A3"
1346618,792,7,1,25,2005-12-22,3,"B","B2"
1346782,616,9,1,21,2005-02-11,2,"B","B4"
1347078,276,2,1,27,2005-02-12,3,"B","B4"
1347465,250,6,1,25,2005-02-10,1,"A","A4"
1347470,208,11,1,18,2005-02-10,1,"B","B4"
1347475,276,2,1,29,2005-02-15,2,"B","B4"
1347655,792,7,1,33,2005-06-04,3,"A","A4"
1347906,276,2,1,23,2005-02-12,3,"A","A4"
1348061,380,3,1,27,2005-02-11,2,"A","A4"
1348150,208,11,1,27,2005-03-03,3,"B","B4"
1348152,380,3,1,42,2005-02-21,3,"A","A3"
1348163,756,2,1,34,2005-02-10,3,"A","A4"
1348372,250,6,1,23,2005-02-12,1,"A","A4"
1348375,724,4,1,29,2005-03-06,1,"A","A4"
1348407,792,7,1,39,2005-02-11,2,"A","A4"
1348436,616,9,1,20,2005-02-17,2,"B","B4"
1348625,250,6,1,32,2005-02-11,2,"A","A4"
1348670,276,2,0,39,2005-03-15,2,"A","A4"
1348720,276,2,0,37,2005-02-15,2,"A","A4"
1348977,276,2,1,30,2005-02-19,2,"A","A4"
1349360,300,8,1,29,2005-02-11,2,"A","A4"
1349613,276,2,1,23,2005-02-16,3,"A","A4"
1349945,276,2,1,25,2005-02-11,2,"B","B2"
1350665,276,2,1,28,2005-12-22,1,"B","B3"
1350763,276,2,1,40,2005-02-11,3,"B","B3"
1350822,276,2,0,24,2005-02-11,1,"B","B4"
1350897,276,2,1,26,2005-02-11,3,"B","B4"
1351452,276,2,1,23,2005-03-01,1,"B","B4"
1351549,196,8,1,26,2005-02-12,3,"B","B4"
1351830,705,18,1,25,2006-05-16,2,"B","B4"
1352024,276,2,1,33,2005-02-12,2,"A","A4"
1352374,276,2,1,18,2006-08-11,3,"B","B3"
1352427,40,2,1,18,2005-02-12,1,"A","A3"
1352488,616,9,1,21,2005-02-17,3,"B","B2"
1352613,300,8,1,31,2005-02-12,1,"A","A4"
1352745,276,2,0,36,2005-02-12,1,"A","A3"
1352849,826,8,1,21,2005-02-12,2,"A","A3"
1352918,276,2,1,21,2005-02-14,1,"B","B3"
1352947,616,9,1,31,2005-04-28,2,"B","B4"
1353019,40,2,1,60,2005-02-12,1,"B","B1"
1353301,276,2,1,41,2005-02-13,2,"B","B3"
1353509,276,2,1,24,2005-02-16,2,"B","B4"
1353541,756,2,1,26,2005-02-12,2,"A","A4"
1353680,276,2,1,24,2005-02-12,2,"B","B3"
1353824,756,4,1,27,2005-02-13,1,"A","A3"
1353885,276,2,1,30,2005-02-15,2,"B","B4"
1354305,792,7,1,23,2005-02-13,3,"B","B4"
1354361,276,2,1,22,2005-02-17,2,"B","B4"
1354659,792,7,1,22,2005-02-13,3,"A","A4"
1354705,276,2,1,52,2005-02-13,1,"B","B3"
1354857,276,2,1,32,2005-02-13,1,"A","A4"
1355246,616,9,1,25,2006-05-29,2,"B","B3"
1355610,276,2,1,24,2005-07-01,3,"B","B4"
1355623,276,2,1,43,2005-02-16,2,"B","B4"
1355752,276,2,1,21,2005-02-16,2,"B","B4"
1356035,250,6,1,30,2005-09-17,3,"A","A4"
1356257,276,2,1,21,2005-02-16,2,"B","B4"
1356361,276,2,1,33,2005-02-13,3,"B","B3"
1356596,196,8,1,19,2005-02-13,3,"A","A4"
1356824,276,2,1,51,2005-02-14,2,"A","A4"
1357058,792,7,1,34,2005-02-14,1,"B","B1"
1357114,40,2,1,20,2005-02-17,3,"B","B4"
1357190,792,7,1,26,2005-02-14,2,"A","A2"
1357213,208,11,1,18,2005-02-14,2,"A","A4"
1357505,276,2,1,26,2005-02-16,2,"B","B3"
1357635,276,2,1,20,2005-02-18,2,"A","A4"
1357668,756,2,1,35,2005-02-14,3,"B","B4"
1357775,276,2,1,25,2005-02-14,2,"B","B4"
1357916,276,2,1,22,2005-04-01,3,"A","A4"
